word,meaning
gejala (象征 / 现象),petanda
junior (初中生),murid menengah rendah
kepuasan (满足),kelegaan
dibanteras (被消灭),dihapuskan / dibasmi
keganasan (暴力),kegarangan / kebuasan
harga diri (尊严),maruah
keyakinan (信心),kepastian
digertak (被威胁 / 恐吓),diancam
logik (合理 / 逻辑),munasabah
seiring (一起),bersama-sama
sewajarnya (应该),semenangnya
impak (影响),dampak / kesan yang ketara
kemerosotan (下跌),kejatuhan
sekatan (阻碍),rintangan
kelalaian (疏忽),kecuaian
peranti (工具),alat
diperkasakan (被加强),diperkuat
peradaban (文明),tamadun
memerangi (对抗),melawan
ditapis (被过滤),disaring
holistik (全面的),secara menyeluruh
menyayat hati (伤心),menghiris
beretika (有道德),bermoral
minda (思维 / 想象力),daya berfikir
berobjektif (有目的),bertujuan
