word,meaning,regular_word
拱手,两手相合，形容毫不费力。,于是秦人'拱手'而取西河之外。
举,攻取。,包'举'宇内，
爱,吝啬。,不'爱'珍器重宝肥饶之地，
致,招纳。,以'致'天下之士，
合从（zòng）缔交，相与为一,是六国联合共同对付秦国的外交策略。,'合从缔交，相与为一'。
从（zòng）,通“纵”。,合'从'缔交，
叩关,攻打函谷关。,'叩关'而攻秦。
叩,击。,尝以十倍之地，百万之众，'叩'关而攻秦。
逡（qūn）巡（xún）,有所顾虑而徘徊不前。,九国之师，'逡巡'遁逃而不敢进。
弊,困乏、疲惫。,秦有余力而制其'弊'，
北,败逃（的军队）。,'北'收要害之郡。
橹,大盾牌。,流血漂'橹'；
烈,功业。,奋六世之余'烈'，
振,举起。,'振'长策而御宇内，
策,马鞭。,振长'策'而御宇内，
御,驾驭、统治。,振长策而'御'宇内，
六合,天地四方。,履至尊而制'六合'，
敲扑,鞭打的刑具，短的叫“敲”，长的叫“扑”。,执'敲扑'而鞭笞天下，
俯首,低头，表示服从。,百越之君，'俯首'系颈，
系颈,颈上系绳，表示投降。,百越之君，俯首'系颈'，
委命,投降。,'委命'下吏。
下吏,下级官吏。,委命'下吏'。
藩篱,比喻边境上的屏障。,乃使蒙恬北筑长城而守'藩篱'，
藩,篱笆。,乃使蒙恬北筑长城而守'藩'篱，
却,击退。,'却'匈奴七百余里；
言,言论，这里指著作。,焚百家之'言'，
黔（qián）首,秦朝时对百姓的称呼。,以愚'黔首'；
黔,黑色。,以愚'黔'首；
隳（huī）,毁坏。下“七庙隳”的“隳”是毁灭。,'隳'名城，
销,熔化金属。,'销'锋镝，
锋,兵刃。,销'锋'镝，
镝（dí）,箭头。,销锋'镝'，
践,踏上，这里与下句“因”对文同义，引申为“凭借”。,然后'践'华为城，
因,介词，依据、凭借。,'因'河为池，
信臣,忠信可靠的臣子。,'信臣'精卒陈利兵而谁何。
谁何,呵问他是谁，就是缉查盘问的意思。,陈利兵而'谁何'。
何,通“呵”，大声责问。另解“谁何”，即谁也不能奈何他。,陈利兵而谁'何'。
金城,坚固的城池。,'金城'千里，
金,比喻像金属一样坚固。,'金'城千里，
殊俗,不同的风俗，指边远的地方。,威震'殊俗'。
牖（yǒu）,窗。,然陈涉瓮'牖'绳枢之子，
枢,门上的转轴。,然陈涉瓮牖绳'枢'之子，
氓（méng）隶,农村中地位低下的人，贫贱民。,'氓隶'之人，
氓,通“氓”，农民。,'氓'隶之人，
中人,平常的人。,才能不及'中人'，
蹑足,踏，用脚踏地。这里有“出身于……”的意思。,'蹑足'行伍之间，
行（háng）伍,代指军队。,蹑足'行伍'之间，
崛起,同“崛起”，突然兴起。,而'崛起'阡陌之中，
阡陌,本是田间小道，这里指民间。,而崛起'阡陌'之中，
弊,困乏、疲惫。,罢夫羸老，易子而咬，率困'弊'之卒，
赢,担负。,'赢'粮而景从，
景（yǐng）,影子，这里指像人的影子一样。,赢粮而'景'从，
且夫,用于句首，表示更进一层，相当于再说、况且。,'且夫'天下非小弱也，
銛（xiān）,锋利。,非'銛'于钩戟长铩也；
谪戍,指被征发戍守边远地区。,'谪戍'之众，
抗,抗衡、匹敌。,非'抗'于九国之师也；
向时,先前。,非及'向时'之士也。
絜（xié）,衡量。,试使山东之国与陈涉度长'絜'大，
作难（nàn）,作乱、起事。,一夫'作难'而七庙隳，
七庙,天子的宗庙，奉祀七代的祖先。,一夫作难而'七庙'隳，
